d       s       a       m_i     
487     13      55      1 3 5 11 7 17 87 107 43 331 1377 3825 1619 
488     13      69      1 1 1 7 25 3 55 39 245 421 1669 383 3343 
489     13      70      1 1 5 1 11 29 85 21 3 1005 1829 1801 6247 
490     13      79      1 3 3 9 23 31 127 25 341 755 1373 3449 3979 
491     13      82      1 3 5 7 3 35 73 35 419 1005 1147 1861 5311 
492     13      87      1 3 3 13 1 35 105 255 401 129 507 905 1135 
493     13      93      1 1 1 7 9 21 23 125 345 51 2001 1101 2499 
494     13      94      1 3 1 7 7 7 95 249 385 623 1083 2757 7343 
495     13      97      1 1 5 7 3 7 45 85 419 681 269 293 3217 
496     13      100     1 3 5 15 29 33 111 151 209 763 2005 1977 3137 
497     13      112     1 3 5 9 25 3 125 167 511 1017 281 3797 375 
498     13      121     1 1 5 9 21 5 51 155 175 907 1367 1361 2793 
499     13      134     1 3 1 3 9 49 75 225 273 789 1985 2201 6609 
500     13      138     1 1 7 7 9 19 97 227 203 801 761 719 325 
501     13      148     1 3 1 5 15 57 57 101 299 813 1395 3865 3297 
502     13      151     1 1 3 9 3 47 77 187 373 167 383 3353 3919 
503     13      157     1 3 5 5 29 31 17 91 95 1009 1895 3609 5037 
504     13      161     1 3 1 15 19 15 89 251 283 751 847 1571 3539 
505     13      179     1 3 7 1 31 29 67 79 329 785 19 2761 2119 
506     13      181     1 3 1 9 5 43 27 243 113 555 25 995 607 
507     13      188     1 3 3 13 5 33 75 39 329 477 717 1551 869 
508     13      196     1 1 1 15 7 57 53 25 143 259 1607 1143 3009 
509     13      203     1 3 5 9 31 59 57 81 451 501 247 635 5543 
510     13      206     1 3 5 11 25 27 1 111 491 39 1407 1907 3995 
511     13      223     1 1 7 11 11 35 111 205 183 287 353 741 2745 
512     13      224     1 1 7 11 15 19 109 19 465 907 771 3271 7175 
513     13      227     1 1 3 7 13 31 17 217 71 601 819 1903 7461 
514     13      230     1 3 1 1 29 39 43 103 345 545 273 3001 1001 
515     13      239     1 3 3 5 3 27 65 159 349 273 387 2937 2771 
516     13      241     1 3 5 1 31 3 93 199 483 611 2027 1663 4647 
517     13      248     1 3 1 9 23 29 117 7 191 583 1293 543 5825 
518     13      253     1 3 7 9 25 37 1 227 399 27 2039 915 3459 
519     13      268     1 1 5 11 31 61 21 151 475 185 1521 1177 1611 
520     13      274     1 3 5 5 27 15 21 203 331 23 977 3699 4043 
521     13      283     1 3 7 9 15 25 89 237 7 547 889 2651 6869 
522     13      286     1 3 3 7 21 49 67 99 485 605 1807 1807 2039 
523     13      289     1 3 1 11 25 27 49 209 79 477 749 1495 7131 
524     13      301     1 3 7 11 23 45 13 227 207 815 1445 289 929 
525     13      302     1 3 7 13 9 53 123 129 285 879 1317 3043 675 
526     13      316     1 1 5 7 5 11 83 127 127 333 1047 1045 7313 
527     13      319     1 1 7 3 31 17 35 185 155 99 1413 1419 315 
528     13      324     1 3 3 9 5 57 47 247 381 531 1109 2037 6909 
529     13      331     1 1 7 15 15 3 9 83 31 387 711 1237 5469 
530     13      333     1 1 7 1 21 59 85 223 327 493 965 15 6091 
531     13      345     1 3 7 3 5 23 105 107 389 159 697 1349 1103 
532     13      351     1 1 7 1 1 49 89 49 83 527 981 2395 1197 
533     13      358     1 1 1 1 15 63 33 149 417 51 1711 3869 1875 
534     13      375     1 1 1 5 7 33 43 117 343 69 1473 961 3639 
535     13      379     1 1 5 3 23 31 87 37 117 299 1887 4005 7879 
536     13      381     1 1 1 9 1 3 1 53 357 703 839 2275 2011 
537     13      386     1 3 5 13 21 1 105 115 299 727 1913 1859 4593 
538     13      403     1 3 7 5 3 55 111 223 87 523 1605 3677 7137 
539     13      405     1 3 7 11 3 9 33 61 417 887 1165 2759 6667 
540     13      419     1 1 5 13 21 25 45 187 313 479 1357 2107 5503 
541     13      426     1 1 1 5 19 51 19 17 419 851 1881 3583 2031 
542     13      428     1 1 3 15 9 43 69 145 195 651 1771 3915 839 
543     13      439     1 3 7 11 7 31 89 113 441 201 49 1027 5687 
544     13      440     1 3 5 5 15 33 39 55 507 695 1619 465 4789 
545     13      446     1 3 3 7 3 19 53 247 89 371 583 2633 8099 
546     13      451     1 1 5 5 9 23 49 41 427 999 1119 3975 761 
547     13      454     1 1 3 7 31 43 23 55 9 383 1617 2801 2975 
548     13      458     1 1 1 3 13 25 35 223 113 155 639 3633 3765 
549     13      465     1 3 5 1 3 51 79 187 91 383 367 1211 7381 
550     13      468     1 3 3 15 11 55 75 169 109 335 1239 4015 6707 
551     13      472     1 1 3 13 15 51 121 55 279 539 1917 1847 1249 
552     13      475     1 1 7 3 21 35 29 15 451 731 1479 1813 4821 
553     13      477     1 1 3 13 17 33 15 65 71 743 193 2701 6757 
554     13      496     1 1 7 15 3 39 61 75 455 319 829 1935 7651 
555     13      502     1 1 7 9 3 15 55 229 83 553 1967 1373 7605 
556     13      508     1 1 3 1 27 33 77 173 253 611 1087 1021 4061 
557     13      517     1 3 5 1 29 29 55 153 379 951 71 3605 4323 
558     13      521     1 1 7 15 17 39 95 147 51 931 889 1265 4143 
559     13      527     1 3 7 9 31 63 31 225 465 773 137 2177 6759 
560     13      530     1 1 3 5 5 63 47 81 139 863 1201 1203 5331 
561     13      532     1 1 1 3 9 29 117 171 323 845 61 2145 6961 
562     13      542     1 1 5 15 27 49 83 229 23 23 1913 1283 6529 
563     13      552     1 3 7 3 21 45 107 65 129 403 1231 507 4997 
564     13      555     1 1 1 15 23 55 93 43 289 713 1287 3185 5567 
565     13      560     1 3 1 3 25 15 41 109 39 317 733 2539 7241 
566     13      566     1 1 7 9 21 41 91 51 315 89 1071 2265 7479 
567     13      575     1 1 5 3 15 21 43 73 181 643 983 2569 7399 
568     13      577     1 3 1 5 21 27 111 107 341 59 245 517 2107 
569     13      589     1 3 5 1 21 41 21 61 413 269 195 3703 6117 
570     13      590     1 1 5 9 29 7 107 251 449 145 849 823 2933 
571     13      602     1 3 3 15 23 15 97 107 253 363 1935 3499 6905 
572     13      607     1 3 7 11 15 27 31 119 79 699 103 1809 6251 
573     13      608     1 1 3 1 15 55 37 227 77 939 1715 4093 1745 
574     13      611     1 1 1 11 9 35 123 151 23 181 59 1125 8017 
575     13      613     1 1 3 13 11 55 119 255 443 777 147 3309 745 
576     13      625     1 1 5 7 3 39 35 21 29 509 1193 2429 691 
577     13      644     1 3 5 5 5 15 45 245 511 367 1497 123 5529 
578     13      651     1 1 7 1 25 43 109 171 333 695 1969 1543 2813 
579     13      654     1 3 1 3 15 33 45 243 19 905 1589 3023 5157 
580     13      656     1 1 1 13 31 23 123 121 141 197 5 637 3741 
581     13      662     1 1 3 3 27 63 119 93 443 569 1783 3375 165 
582     13      668     1 3 1 7 5 23 107 103 247 9 1883 3515 2199 
583     13      681     1 3 1 11 23 47 117 17 213 985 517 1693 4875 
584     13      682     1 1 1 1 15 39 65 145 465 867 943 1881 7213 
585     13      689     1 3 7 5 11 49 121 109 281 353 933 3313 7839 
586     13      696     1 3 1 11 13 37 23 157 61 15 177 1317 3115 
587     13      699     1 3 3 13 9 19 113 223 101 85 1567 2079 1363 
588     13      707     1 1 7 7 23 9 17 161 219 537 555 3787 2919 
589     13      709     1 3 7 7 11 33 5 153 21 131 2005 3749 6819 
590     13      714     1 3 1 7 27 41 93 215 333 967 767 1849 3831 
591     13      716     1 1 3 7 3 9 19 125 29 763 1327 1583 7915 
592     13      719     1 3 5 15 1 31 103 57 17 499 325 1937 2503 
593     13      727     1 1 7 11 15 9 39 61 341 157 981 3515 2409 
594     13      734     1 3 1 7 25 55 109 183 419 297 1907 693 3823 
595     13      738     1 3 5 7 15 11 47 85 161 453 33 3145 1813 
596     13      743     1 3 3 15 15 51 1 99 269 801 23 67 4009 
597     13      747     1 3 3 7 17 17 127 11 243 551 373 3323 4039 
598     13      757     1 3 1 5 25 15 77 71 403 679 1185 3515 7183 
599     13      769     1 1 5 7 5 29 3 221 157 991 897 3415 819 
600     13      770     1 1 5 3 19 37 89 251 93 651 587 541 1239 
601     13      776     1 1 5 15 25 27 67 117 11 431 1561 3401 3745 
602     13      790     1 1 5 13 11 35 55 171 211 1023 129 3669 4109 
603     13      799     1 1 3 15 23 39 69 95 251 93 723 3557 2989 
604     13      805     1 1 3 15 29 5 113 61 49 779 1199 717 6219 
605     13      809     1 1 7 1 7 59 3 247 81 897 467 1745 5415 
606     13      812     1 3 3 13 15 31 83 33 429 1 1083 743 2257 
607     13      820     1 1 7 3 21 51 95 127 415 461 1963 1477 2803 
608     13      827     1 3 5 13 23 23 19 225 159 383 17 2215 2881 
609     13      829     1 1 3 3 9 35 123 175 467 423 225 341 547 
610     13      835     1 3 7 9 1 45 71 145 249 639 113 63 3591 
611     13      841     1 3 1 13 31 29 49 47 369 283 1789 4037 1921 
612     13      844     1 1 7 1 11 29 85 83 445 253 1207 3195 5033 
613     13      856     1 1 3 13 9 55 3 197 467 801 169 1125 4417 
614     13      859     1 1 5 9 13 21 121 49 453 197 1619 2661 6111 
615     13      862     1 1 7 5 11 59 65 49 131 445 2023 3477 4901 
616     13      865     1 1 5 1 3 43 55 229 377 143 1977 3651 185 
617     13      885     1 3 7 1 11 1 85 137 335 561 731 4009 3179 
618     13      890     1 3 3 9 7 5 33 117 7 371 1253 3455 5991 
619     13      905     1 3 5 13 27 51 69 185 347 673 265 1501 1417 
620     13      916     1 1 5 9 3 41 99 87 459 559 1951 3245 5049 
621     13      925     1 1 3 13 5 45 61 99 477 707 965 851 5139 
622     13      935     1 1 1 11 15 51 95 5 83 365 923 1063 6511 
623     13      939     1 3 5 5 21 39 31 151 95 485 761 2465 5807 
624     13      942     1 1 3 13 5 47 121 31 21 751 1525 293 6873 
625     13      949     1 3 1 5 7 5 123 185 195 951 1785 655 585 
626     13      953     1 1 3 15 19 19 89 223 63 313 1553 1999 1877 
627     13      956     1 3 3 1 19 15 81 255 273 529 837 3321 4175 
628     13      961     1 3 1 11 11 63 11 25 243 143 1681 3129 2549 
629     13      968     1 1 3 9 19 33 69 237 475 323 147 2789 1723 
630     13      976     1 3 5 7 29 43 1 11 125 625 1663 547 5781 
631     13      988     1 3 5 1 7 7 63 97 489 943 147 2037 2045 
632     13      995     1 1 3 5 13 51 53 35 163 97 965 2639 949 
633     13      997     1 3 5 7 29 35 111 61 327 423 1395 1747 7189 
634     13      1007    1 1 1 5 15 43 39 83 289 977 1827 307 6173 
635     13      1015    1 3 3 5 27 45 7 149 219 11 779 651 5251 
636     13      1016    1 3 1 7 23 31 29 139 271 91 1653 2681 3893 
637     13      1027    1 3 3 3 21 1 27 53 297 455 545 1059 5865 
638     13      1036    1 1 3 3 13 63 69 81 91 335 2037 3285 3131 
639     13      1039    1 3 1 11 21 29 27 83 495 543 1165 1045 6369 
640     13      1041    1 3 3 11 1 47 95 115 285 937 687 3583 1791 
641     13      1048    1 3 7 13 17 45 67 75 377 541 935 1927 575 
642     13      1053    1 1 7 13 3 61 27 17 441 879 1751 787 3223 
643     13      1054    1 1 7 11 15 27 67 109 3 525 1661 3271 8031 
644     13      1058    1 1 1 13 25 17 15 63 391 625 235 1559 2671 
645     13      1075    1 3 5 3 11 63 123 83 11 83 817 2545 5511 
646     13      1082    1 3 1 5 23 45 15 5 51 425 977 3939 6669 
647     13      1090    1 3 3 15 13 59 105 237 129 543 935 1709 6957 
648     13      1109    1 1 7 3 27 57 105 97 87 957 527 1155 7613 
649     13      1110    1 1 3 1 15 11 115 157 65 433 531 3007 5613 
650     13      1119    1 3 5 7 9 29 45 125 273 285 1581 1627 4463 
651     13      1126    1 1 5 1 15 53 79 215 45 131 1771 3947 391 
652     13      1130    1 1 7 15 11 29 39 165 441 883 659 1811 1499 
653     13      1135    1 3 5 15 19 3 75 97 35 151 1015 4047 207 
654     13      1137    1 3 5 1 9 7 77 13 499 955 1409 553 8019 
655     13      1140    1 1 3 13 9 17 85 171 107 163 235 2059 5577 
656     13      1149    1 3 1 1 23 57 19 193 223 629 863 1977 7631 
657     13      1156    1 1 3 9 17 35 39 211 219 951 283 1635 3831 
658     13      1159    1 3 1 5 13 23 33 173 415 735 419 7 6487 
659     13      1160    1 1 3 3 5 29 101 29 5 721 1677 3683 6293 
660     13      1165    1 3 5 9 21 23 79 249 113 41 681 2827 1637 
661     13      1173    1 1 5 15 19 55 15 13 215 671 511 2705 2715 
662     13      1178    1 3 1 7 11 57 69 45 453 37 491 2425 5361 
663     13      1183    1 3 5 15 3 45 29 165 215 295 1201 691 3329 
664     13      1184    1 1 5 3 25 7 101 171 343 827 483 3479 4701 
665     13      1189    1 1 5 1 23 23 99 125 507 497 1115 2593 2251 
666     13      1194    1 3 7 11 9 29 59 81 451 349 1995 481 5473 
667     13      1211    1 3 7 15 31 35 25 221 11 89 387 3379 6841 
668     13      1214    1 1 1 7 23 7 39 165 129 463 1037 3951 6977 
669     13      1216    1 3 7 1 23 51 41 9 155 33 87 2669 2127 
670     13      1225    1 3 1 3 5 37 37 61 461 157 1887 583 567 
671     13      1231    1 1 1 11 21 57 87 11 343 365 1809 2517 4315 
672     13      1239    1 3 1 15 15 37 23 217 495 205 571 3869 6355 
673     13      1243    1 1 3 3 17 5 15 215 91 829 1523 399 223 
674     13      1246    1 1 7 13 17 9 61 45 327 345 2019 1425 1637 
675     13      1249    1 3 3 11 3 35 95 207 403 737 1361 1703 2579 
676     13      1259    1 1 5 13 19 53 37 205 37 261 827 3377 5755 
677     13      1273    1 1 5 1 17 63 7 159 71 527 1199 677 823 
678     13      1274    1 3 7 7 13 53 39 141 375 721 33 2961 2057 
679     13      1281    1 1 5 11 7 7 13 53 467 721 1369 1453 6745 
680     13      1287    1 1 5 5 7 27 37 57 467 187 2031 3007 5821 
681     13      1294    1 1 3 3 19 11 115 187 399 837 279 2009 5031 
682     13      1296    1 3 7 11 1 37 25 37 487 849 841 2363 6503 
683     13      1305    1 3 5 11 1 57 107 145 327 275 1253 1567 2669 
684     13      1306    1 1 5 1 19 11 91 71 171 815 47 3571 4991 
685     13      1318    1 3 1 13 17 39 53 163 277 407 865 1261 2107 
686     13      1332    1 3 3 15 1 13 47 205 219 953 1775 9 3317 
687     13      1335    1 3 1 11 3 5 61 55 159 565 2007 4051 5245 
688     13      1336    1 1 1 11 1 11 79 201 121 931 1489 3359 5245 
689     13      1341    1 1 5 3 7 27 13 161 481 867 2033 3915 4719 
690     13      1342    1 1 1 9 25 33 115 167 165 1011 43 3629 5909 
691     13      1362    1 1 3 15 3 33 35 191 153 27 1985 267 2519 
692     13      1364    1 3 1 9 11 17 17 167 269 503 1345 1197 7535 
693     13      1368    1 1 3 15 7 63 111 115 355 199 1153 1275 6711 
694     13      1378    1 3 7 13 19 5 55 21 301 671 1661 3029 2625 
695     13      1387    1 1 7 13 9 55 13 199 449 663 805 1801 505 
696     13      1389    1 1 3 9 5 25 87 39 249 79 337 3961 5765 
697     13      1397    1 3 3 3 1 47 83 139 33 571 1585 1583 231 
698     13      1401    1 3 3 3 1 7 125 187 451 533 539 1051 4067 
699     13      1408    1 1 5 7 3 41 81 63 355 231 125 1531 2981 
700     13      1418    1 1 1 3 25 39 109 127 143 207 1147 1797 3517 
701     13      1425    1 3 1 3 23 39 77 77 205 667 1205 3019 6641 
702     13      1426    1 1 3 9 27 7 21 125 257 397 195 2909 1135 
703     13      1431    1 3 7 7 17 59 121 247 115 881 203 1557 929 
704     13      1435    1 3 7 15 11 57 59 89 109 535 491 537 7425 
705     13      1441    1 3 3 15 27 27 57 237 373 329 1949 2199 5409 
706     13      1444    1 3 5 7 9 33 57 235 471 427 1905 2195 1893 
707     13      1462    1 1 7 1 9 29 63 171 377 433 1023 479 2881 
708     13      1471    1 3 1 1 23 3 115 189 443 17 41 489 8163 
709     13      1474    1 1 3 15 13 31 39 39 315 317 397 731 7981 
710     13      1483    1 3 3 7 7 41 55 145 59 415 1057 1863 2001 
711     13      1485    1 3 3 5 19 3 61 43 371 701 1127 677 1459 
712     13      1494    1 3 7 1 11 37 43 193 17 869 1877 3049 7555 
713     13      1497    1 1 7 9 9 1 59 171 401 293 41 3211 5157 
714     13      1516    1 3 5 11 1 29 47 199 31 663 1185 311 7309 
715     13      1522    1 3 7 3 17 7 5 25 359 565 1867 863 4713 
716     13      1534    1 1 5 7 13 57 47 161 229 345 1133 2389 4651 
717     13      1543    1 1 5 7 11 43 45 45 383 87 371 2269 6631 
718     13      1552    1 3 5 9 13 23 111 125 337 951 1255 2419 6597 
719     13      1557    1 3 7 11 21 5 57 191 377 225 521 3591 1301 
720     13      1558    1 1 3 7 25 5 119 75 399 989 827 1073 4563 
721     13      1567    1 1 5 13 13 43 81 31 129 385 1437 1591 6227 
722     13      1568    1 3 1 15 23 23 79 157 491 21 1353 3335 7721 
723     13      1574    1 3 5 15 7 33 21 195 243 635 2043 2095 337 
724     13      1592    1 3 1 13 27 9 41 73 143 429 563 2311 5121 
725     13      1605    1 1 3 9 25 25 15 233 123 509 1085 1817 3153 
726     13      1606    1 1 5 13 17 39 97 69 319 527 1827 2887 3595 
727     13      1610    1 3 3 13 11 3 11 207 183 455 1615 2289 2747 
728     13      1617    1 3 1 3 13 19 55 125 165 565 1193 889 4867 
729     13      1623    1 3 7 11 13 3 103 221 509 219 1101 1605 2769 
730     13      1630    1 1 1 5 11 13 5 11 447 155 677 3337 7119 
731     13      1634    1 3 7 3 17 37 43 233 417 157 111 1121 5783 
732     13      1640    1 1 1 15 23 49 115 193 337 1021 529 2473 471 
733     13      1643    1 3 3 13 9 5 103 255 473 843 395 399 1907 
734     13      1648    1 3 5 5 9 33 91 95 179 929 1045 1219 6617 
735     13      1651    1 3 3 3 13 13 101 61 99 953 451 855 265 
736     13      1653    1 1 3 15 21 15 103 233 225 891 1307 697 3683 
737     13      1670    1 1 7 13 31 29 121 195 139 825 1275 2171 465 
738     13      1676    1 1 1 3 15 1 13 127 195 375 1927 2459 1923 
739     13      1684    1 1 7 3 11 3 101 83 385 1013 835 3283 1781 
740     13      1687    1 1 3 13 9 11 71 235 265 113 1943 2163 3205 
741     13      1691    1 1 1 9 27 57 5 125 61 3 27 423 287 
742     13      1693    1 1 3 9 21 19 105 45 381 841 1107 1335 6381 
743     13      1698    1 1 1 11 13 1 121 85 467 271 275 955 7039 
744     13      1709    1 1 3 1 3 45 105 249 123 833 1311 1397 8139 
745     13      1715    1 1 7 7 17 31 87 157 425 495 1169 847 205 
746     13      1722    1 3 1 3 27 51 39 73 247 923 833 3567 3411 
747     13      1732    1 3 1 11 31 9 23 193 505 699 93 147 5367 
748     13      1735    1 3 7 5 25 41 77 7 375 739 1849 57 5687 
749     13      1747    1 1 1 5 29 31 43 37 135 795 791 375 4709 
750     13      1749    1 1 1 15 29 15 13 231 145 879 1193 3157 7585 
751     13      1754    1 1 3 11 3 35 1 205 303 191 1895 1205 2603 
752     13      1777    1 1 5 7 3 63 33 87 289 743 1447 653 679 
753     13      1784    1 1 5 1 9 27 29 143 225 351 53 2343 7263 
754     13      1790    1 3 3 11 13 13 127 47 151 327 553 1721 5919 
755     13      1795    1 3 7 5 11 31 67 43 73 1015 963 3967 1249 
756     13      1801    1 3 5 1 13 49 9 113 219 893 1151 2393 4397 
757     13      1802    1 3 5 11 7 21 55 175 65 393 1109 549 393 
758     13      1812    1 1 1 3 27 35 85 179 441 223 89 49 211 
759     13      1828    1 3 5 13 21 11 5 97 167 703 489 4023 5019 
760     13      1831    1 3 3 3 11 63 123 35 363 867 1945 4067 7759 
761     13      1837    1 3 7 5 19 31 73 45 395 459 1539 2365 3929 
762     13      1838    1 1 1 5 15 63 83 137 31 69 1189 2095 6993 
763     13      1840    1 1 3 11 13 29 107 109 467 555 35 2385 6605 
764     13      1845    1 3 3 5 9 41 75 61 145 459 1967 345 569 
765     13      1863    1 1 3 13 7 17 35 225 117 943 1801 4095 3867 
766     13      1864    1 1 1 7 19 11 73 193 31 503 821 1895 3863 
767     13      1867    1 3 3 3 27 33 55 117 309 433 1837 3859 2093 
768     13      1870    1 3 3 13 3 19 55 47 265 457 1221 651 7913 
769     13      1877    1 1 5 9 25 7 9 117 145 539 939 197 3499 
770     13      1881    1 3 7 13 7 57 103 199 175 335 1759 1899 5435 
771     13      1884    1 3 7 13 27 49 67 251 139 791 885 3457 4395 
772     13      1903    1 3 3 7 5 45 7 191 403 351 609 3403 6563 
773     13      1917    1 1 1 9 1 39 15 227 189 657 19 1285 4657 
774     13      1918    1 3 3 1 7 27 89 219 59 441 653 3867 3105 
775     13      1922    1 1 7 5 29 55 37 109 227 471 1539 2599 6161 
776     13      1924    1 3 5 7 31 31 61 51 239 591 861 879 3227 
777     13      1928    1 3 5 7 27 13 15 141 107 225 1265 633 4589 
778     13      1931    1 1 3 15 13 11 97 117 47 805 1883 1073 1797 
779     13      1951    1 1 5 1 29 37 99 165 81 459 713 135 977 
780     13      1952    1 1 3 1 5 49 3 131 297 609 235 3349 6343 
781     13      1957    1 1 3 11 17 3 15 123 17 889 1227 2299 5605 
782     13      1958    1 3 1 1 9 17 89 19 367 993 147 559 1247 
783     13      1964    1 1 1 9 17 25 103 193 409 473 2015 3291 4517 
784     13      1967    1 3 1 15 15 49 105 99 91 39 529 83 2181 
785     13      1970    1 1 7 13 27 23 35 81 305 573 625 3333 3695 
786     13      1972    1 3 3 15 29 63 125 145 207 285 565 129 85 
787     13      1994    1 1 1 1 21 55 3 173 127 763 1081 3007 6767 
788     13      2002    1 1 5 11 15 37 3 107 107 113 983 761 1111 
789     13      2007    1 3 1 15 11 15 111 9 1 777 539 1893 5113 
790     13      2008    1 1 1 3 5 49 97 51 191 913 1953 1109 6679 
791     13      2023    1 3 7 3 13 31 95 169 151 493 1643 2759 6437 
792     13      2030    1 3 3 15 25 49 43 5 351 435 1635 3315 7497 
793     13      2035    1 1 1 7 11 43 61 199 255 367 1981 239 3097 
794     13      2038    1 1 7 15 13 13 1 43 5 947 929 3 1527 
795     13      2042    1 1 7 1 21 9 5 43 69 631 1991 3981 657 
796     13      2047    1 1 7 13 7 53 71 59 385 341 177 1547 5045 
797     13      2051    1 1 7 9 21 5 37 147 277 561 1227 3657 3803 
798     13      2058    1 3 5 5 17 49 47 205 455 789 255 1357 223 
799     13      2060    1 3 1 9 21 39 95 69 293 715 1703 321 6311 
800     13      2071    1 1 5 15 1 27 117 197 349 33 1055 3891 1333 
801     13      2084    1 1 1 7 29 53 65 55 109 853 123 1115 8063 
802     13      2087    1 1 5 9 15 17 107 157 511 735 1179 2447 8005 
803     13      2099    1 3 5 7 9 13 63 167 371 515 115 2081 7357 
804     13      2108    1 3 7 13 13 25 35 79 169 315 833 3307 6889 
805     13      2111    1 1 7 13 31 1 57 57 137 429 739 1697 6523 
806     13      2120    1 3 3 15 11 13 63 227 509 613 675 1205 3963 
807     13      2128    1 3 3 1 7 19 17 45 443 287 1209 3047 4075 
808     13      2138    1 3 3 13 19 55 23 255 173 795 1973 231 2591 
809     13      2143    1 1 3 9 23 29 113 33 275 387 1105 3011 3109 
810     13      2144    1 1 3 13 27 55 123 161 5 181 957 1647 2925 
811     13      2153    1 3 7 5 5 25 91 213 243 831 695 3383 7265 
812     13      2156    1 3 3 13 7 3 119 195 275 363 667 237 4971 
813     13      2162    1 3 3 13 11 37 49 41 85 853 983 1669 6181 
814     13      2167    1 1 5 5 15 45 87 239 411 595 463 2655 1997 
815     13      2178    1 3 1 5 19 15 87 17 191 177 1321 3271 2875 
816     13      2183    1 1 3 7 5 41 91 13 435 245 1089 2923 7063 
817     13      2202    1 1 1 15 11 17 33 215 195 487 689 2603 6187 
818     13      2211    1 1 5 1 27 51 7 239 45 439 337 3565 2221 
819     13      2214    1 3 7 9 1 43 13 177 467 727 1091 3179 2743 
820     13      2223    1 1 3 1 25 57 51 189 233 39 831 2531 6947 
821     13      2225    1 1 3 3 31 9 111 97 221 193 1601 529 6791 
822     13      2232    1 1 1 5 5 25 1 201 409 977 109 557 6053 
823     13      2237    1 1 7 13 3 7 111 81 231 29 1081 2493 2155 
824     13      2257    1 1 3 15 15 63 45 17 183 693 1305 1977 3017 
825     13      2260    1 1 3 11 31 19 29 135 317 51 171 2289 2975 
826     13      2267    1 3 5 1 31 35 95 203 59 269 645 1013 6603 
827     13      2274    1 3 5 15 9 63 67 55 245 669 1447 777 6357 
828     13      2276    1 3 5 11 5 57 83 59 99 455 25 2397 2719 
829     13      2285    1 3 1 7 21 33 123 125 399 153 1009 639 2005 
830     13      2288    1 3 1 1 19 1 57 209 237 1009 1823 1257 5723 
831     13      2293    1 1 5 5 29 3 109 251 137 781 1419 2051 6645 
832     13      2294    1 3 5 15 17 5 11 171 341 827 661 3545 1537 
833     13      2297    1 3 5 11 5 13 19 207 453 187 1175 2729 1185 
834     13      2303    1 1 3 9 9 31 21 189 495 117 505 3699 707 
835     13      2308    1 3 5 13 11 49 89 91 487 675 677 901 111 
836     13      2311    1 3 1 15 7 49 55 45 277 255 555 1071 7685 
837     13      2318    1 1 3 9 7 9 59 167 465 1009 1653 3105 5473 
838     13      2323    1 3 5 1 13 51 71 171 323 667 1901 3611 5169 
839     13      2332    1 1 5 9 23 15 73 93 23 601 1891 1587 1363 
840     13      2341    1 1 7 5 5 41 115 253 293 331 1203 4031 3803 
841     13      2345    1 1 7 3 11 9 11 39 11 147 167 3297 4607 
842     13      2348    1 1 7 13 9 7 99 137 49 195 1875 581 6273 
843     13      2354    1 3 3 11 27 53 3 39 233 249 1771 1847 4873 
844     13      2368    1 3 1 7 7 13 123 81 417 397 601 3611 5735 
845     13      2377    1 3 7 13 1 19 65 221 275 545 861 1157 5851 
846     13      2380    1 3 3 9 25 49 77 1 149 437 789 3075 7023 
847     13      2383    1 3 5 7 21 3 77 91 211 829 1953 2095 7745 
848     13      2388    1 3 5 1 15 31 75 251 387 11 967 2691 3031 
849     13      2395    1 3 5 3 17 39 79 151 259 847 705 3605 1887 
850     13      2397    1 3 7 5 15 63 89 15 309 791 35 2571 5871 
851     13      2401    1 1 7 11 25 59 73 107 157 175 689 3697 5471 
852     13      2411    1 3 7 11 17 23 111 73 107 567 215 1197 1725 
853     13      2413    1 3 7 7 9 35 49 3 277 399 31 2293 1215 
854     13      2419    1 3 3 3 15 21 45 147 189 983 1975 2863 4341 
855     13      2435    1 3 1 5 7 51 105 199 309 479 1595 3801 6253 
856     13      2442    1 3 1 15 31 29 91 107 303 447 1773 1013 1181 
857     13      2455    1 1 1 7 17 1 35 7 341 489 537 327 1189 
858     13      2472    1 1 3 13 11 57 31 123 375 283 1523 3445 2921 
859     13      2478    1 1 1 3 25 55 63 251 307 533 1769 2301 1237 
860     13      2490    1 3 3 5 3 55 73 255 137 343 893 2661 5333 
861     13      2507    1 3 5 9 23 45 27 97 211 277 303 969 3723 
862     13      2509    1 3 3 13 29 31 87 159 295 1011 1805 3169 4987 
863     13      2517    1 3 3 9 29 57 47 229 391 711 1251 851 1525 
864     13      2524    1 3 7 13 9 53 3 225 271 301 813 57 3585 
865     13      2528    1 1 3 1 5 23 77 161 49 515 1401 2053 7417 
866     13      2531    1 3 1 3 31 63 91 39 287 829 63 2063 2641 
867     13      2538    1 1 3 3 23 3 31 147 415 19 1887 2761 8141 
868     13      2545    1 3 1 5 9 29 7 201 293 227 1363 3597 2231 
869     13      2546    1 3 5 9 29 37 83 95 125 1005 891 721 6023 
870     13      2555    1 3 3 11 25 39 81 169 275 645 835 2905 4417 
871     13      2557    1 3 7 13 21 45 13 109 341 773 1293 871 5691 
872     13      2564    1 1 1 9 9 57 115 249 345 231 1247 381 2325 
873     13      2573    1 1 7 5 23 7 61 57 373 805 1547 183 5141 
874     13      2579    1 1 5 5 15 55 75 147 147 743 383 2681 5107 
875     13      2592    1 1 7 3 17 33 21 79 125 885 591 1557 2405 
876     13      2598    1 1 5 13 5 59 3 135 67 183 135 2657 6407 
