d       s       a       m_i     
285     11      713     1 3 5 15 23 63 119 185 463 371 567 
286     11      719     1 1 5 5 21 21 33 141 181 885 717 
287     11      724     1 1 1 5 11 35 37 231 67 951 1721 
288     11      733     1 3 7 9 13 29 113 55 27 625 285 
289     11      734     1 1 7 5 19 45 5 233 133 401 99 
290     11      740     1 1 5 1 7 49 127 173 187 513 171 
291     11      747     1 1 7 3 17 59 51 81 197 1021 763 
292     11      749     1 1 3 1 9 51 31 149 397 929 81 
293     11      752     1 1 7 9 29 29 21 191 107 9 807 
294     11      755     1 1 5 3 15 3 125 105 225 571 33 
295     11      762     1 1 5 15 31 61 113 7 59 829 1259 
296     11      770     1 3 1 5 29 27 33 145 211 837 749 
297     11      782     1 1 1 1 27 15 25 197 51 71 813 
298     11      784     1 1 1 3 27 59 1 163 467 991 1489 
299     11      787     1 3 3 13 1 27 105 225 403 803 409 
300     11      789     1 1 5 3 7 31 99 55 275 487 983 
301     11      793     1 1 1 5 27 63 107 161 491 887 825 
302     11      796     1 1 5 15 15 19 87 165 55 477 1641 
303     11      803     1 3 5 7 21 49 105 151 251 385 1265 
304     11      805     1 1 5 3 5 43 47 213 387 523 1547 
305     11      810     1 3 1 11 15 55 93 167 377 201 1031 
306     11      815     1 1 7 7 9 27 35 251 425 27 1527 
307     11      824     1 1 7 7 15 55 123 21 53 77 345 
308     11      829     1 1 5 15 13 11 75 101 75 217 219 
309     11      830     1 1 3 9 1 29 117 209 301 803 1487 
310     11      832     1 3 5 3 31 57 63 171 59 591 1323 
311     11      841     1 3 7 11 19 27 111 87 439 1023 691 
312     11      847     1 3 7 13 15 57 11 249 383 291 1221 
313     11      849     1 1 3 13 23 43 31 75 293 701 1065 
314     11      861     1 1 5 5 9 53 115 235 389 907 1883 
315     11      871     1 1 1 11 17 31 111 187 483 323 307 
316     11      878     1 1 3 1 23 33 25 27 267 231 467 
317     11      889     1 3 1 1 29 15 1 151 369 943 1293 
318     11      892     1 1 1 15 31 9 1 223 7 99 1725 
319     11      901     1 1 1 1 13 3 103 177 61 939 1321 
320     11      908     1 3 3 7 29 45 63 119 467 1011 1687 
321     11      920     1 3 5 13 13 51 69 113 231 807 863 
322     11      923     1 1 1 13 13 57 121 219 77 959 1883 
323     11      942     1 1 3 13 25 19 83 139 31 3 367 
324     11      949     1 3 7 13 19 49 45 47 197 253 1769 
325     11      950     1 3 1 5 13 59 65 23 31 127 1693 
326     11      954     1 1 7 5 15 33 85 59 483 87 1109 
327     11      961     1 1 1 13 29 39 87 109 223 927 723 
328     11      968     1 1 7 11 29 19 13 73 479 989 767 
329     11      971     1 3 1 15 27 33 119 237 117 181 1719 
330     11      973     1 1 7 9 1 55 115 91 355 21 531 
331     11      979     1 1 5 7 29 23 41 227 455 587 523 
332     11      982     1 3 5 9 31 21 105 139 69 907 1195 
333     11      986     1 1 1 13 11 63 33 161 133 493 1055 
334     11      998     1 1 7 15 19 37 37 145 321 781 575 
335     11      1001    1 1 5 5 29 17 109 193 271 831 915 
336     11      1010    1 3 3 11 17 63 57 245 347 647 321 
337     11      1012    1 3 5 7 15 15 45 11 383 231 267 
338     12      41      1 3 5 13 15 45 67 135 135 247 1261 205 
339     12      52      1 1 7 5 13 37 63 179 43 679 1127 779 
340     12      61      1 3 7 15 7 11 105 207 93 127 907 3931 
341     12      62      1 3 7 3 29 45 53 91 97 175 1847 1119 
342     12      76      1 3 7 13 29 25 49 245 39 651 1353 481 
343     12      104     1 1 5 13 13 49 119 85 101 361 1163 2693 
344     12      117     1 1 7 11 3 13 23 95 169 1005 1911 849 
345     12      131     1 3 7 15 1 25 45 111 3 683 1383 1387 
346     12      143     1 3 1 3 19 37 97 183 27 971 853 255 
347     12      145     1 3 5 7 7 61 19 163 161 921 1561 841 
348     12      157     1 1 3 7 3 17 43 185 231 513 1499 695 
349     12      167     1 3 1 13 27 17 123 155 13 873 21 1687 
350     12      171     1 1 5 11 7 15 83 103 489 529 1331 3783 
351     12      176     1 1 7 13 11 45 11 105 341 39 1697 2701 
352     12      181     1 1 1 15 1 37 119 179 471 343 927 2469 
353     12      194     1 1 3 9 29 57 59 133 309 587 1775 1811 
354     12      217     1 1 5 15 7 51 25 151 173 961 1449 2215 
355     12      236     1 3 1 5 21 49 113 199 433 563 849 2741 
356     12      239     1 3 7 9 19 7 3 95 259 919 1939 2747 
357     12      262     1 3 5 1 19 35 83 95 359 85 677 805 
358     12      283     1 3 1 9 19 37 63 43 251 301 1217 3361 
359     12      286     1 1 3 7 5 33 45 15 191 49 1511 157 
360     12      307     1 3 3 3 7 3 1 241 239 229 103 215 
361     12      313     1 3 3 3 29 27 31 61 331 847 1699 923 
362     12      319     1 3 1 5 11 15 81 97 411 471 1521 73 
363     12      348     1 1 7 7 7 17 95 245 415 31 259 1835 
364     12      352     1 1 1 1 23 55 27 201 21 651 1965 1723 
365     12      357     1 1 7 11 19 43 33 7 1 635 1651 1041 
366     12      391     1 1 1 15 29 11 31 11 29 935 715 1115 
367     12      398     1 1 3 3 23 51 115 55 45 135 913 3181 
368     12      400     1 3 7 5 15 23 39 145 51 243 1705 3889 
369     12      412     1 1 7 5 27 43 63 15 365 299 1413 1553 
370     12      415     1 3 1 1 19 41 123 123 331 487 2033 1849 
371     12      422     1 3 5 13 21 27 91 225 387 529 1529 1855 
372     12      440     1 3 5 13 23 51 27 213 55 619 773 2037 
373     12      460     1 3 3 1 11 9 125 205 255 813 925 2031 
374     12      465     1 3 5 9 23 45 43 197 475 487 79 3649 
375     12      468     1 1 1 1 5 53 97 243 433 75 467 1213 
376     12      515     1 1 5 7 5 53 15 91 405 791 1293 1517 
377     12      536     1 1 1 3 17 27 19 81 227 935 1511 3709 
378     12      539     1 1 5 11 17 41 125 131 295 867 1291 2833 
379     12      551     1 3 7 13 3 11 63 159 341 143 1779 1441 
380     12      558     1 1 7 3 29 3 103 7 145 589 723 663 
381     12      563     1 1 7 15 5 25 105 129 277 163 349 219 
382     12      570     1 3 1 9 21 27 127 167 285 135 1493 3825 
383     12      595     1 3 1 1 7 41 95 255 273 75 383 15 
384     12      598     1 3 5 7 21 19 67 19 465 899 1515 425 
385     12      617     1 1 5 15 17 45 31 227 229 271 1169 3915 
386     12      647     1 3 7 11 7 23 117 195 435 171 777 3473 
387     12      654     1 1 3 3 27 7 99 11 361 129 717 1241 
388     12      678     1 1 5 9 27 1 11 115 15 561 1989 3857 
389     12      713     1 1 1 5 29 55 23 83 45 427 987 3627 
390     12      738     1 1 1 9 5 59 119 77 297 129 1675 2621 
391     12      747     1 1 5 11 27 49 69 115 453 863 811 535 
392     12      750     1 1 5 9 21 43 109 207 5 987 1747 47 
393     12      757     1 3 5 5 27 31 67 133 153 137 1167 325 
394     12      772     1 1 3 15 9 7 51 221 317 917 1589 1701 
395     12      803     1 1 3 11 7 21 3 235 237 853 1883 2733 
396     12      810     1 3 7 1 9 59 69 71 191 507 1387 2643 
397     12      812     1 1 1 7 13 17 59 115 401 373 431 2895 
398     12      850     1 3 7 7 31 23 51 173 425 823 1375 1675 
399     12      862     1 3 1 13 1 57 57 203 275 825 969 1357 
400     12      906     1 3 1 1 31 39 125 49 11 255 373 805 
401     12      908     1 3 7 1 7 59 43 143 447 73 1979 3401 
402     12      929     1 3 7 15 29 31 11 49 241 157 1147 1049 
403     12      930     1 1 3 11 19 39 41 145 219 811 425 3561 
404     12      954     1 1 3 13 23 49 123 3 423 661 329 3883 
